fruitveg,cannedveg,cannedmeat,frozenmeal,beer,wine,fish,confectionery
fruitveg,cannedveg,cannedmeat,frozenmeal,beer,wine,softdrink,fish
freshmeat,dairy,cannedveg,cannedmeat,frozenmeal,beer,wine,softdrink
fruitveg,freshmeat,dairy,cannedveg,cannedmeat,frozenmeal,beer,wine
cannedveg,beer,wine,confectionery,,,,
cannedveg,beer,wine,softdrink,confectionery,,,
cannedveg,beer,softdrink,fish,,,,
cannedveg,beer,fish,,,,,
cannedveg,beer,,,,,,
cannedveg,beer,,,,,,
cannedveg,beer,,,,,,
cannedveg,cannedmeat,wine,confectionery,,,,
cannedveg,cannedmeat,wine,fish,confectionery,,,
cannedveg,cannedmeat,wine,softdrink,confectionery,,,
cannedveg,cannedmeat,wine,softdrink,fish,confectionery,,
cannedveg,cannedmeat,wine,softdrink,,,,
cannedveg,cannedmeat,wine,softdrink,,,,
cannedveg,cannedmeat,wine,softdrink,,,,
cannedveg,cannedmeat,wine,,,,,
cannedveg,cannedmeat,wine,,,,,
cannedveg,cannedmeat,softdrink,confectionery,,,,
cannedveg,cannedmeat,frozenmeal,beer,confectionery,,,
cannedveg,cannedmeat,frozenmeal,beer,fish,,,
cannedveg,cannedmeat,frozenmeal,beer,softdrink,,,
cannedveg,cannedmeat,frozenmeal,beer,wine,fish,,
cannedveg,cannedmeat,frozenmeal,beer,wine,fish,,
cannedveg,cannedmeat,frozenmeal,beer,wine,fish,,
cannedveg,cannedmeat,frozenmeal,beer,wine,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,beer,,,,
cannedveg,cannedmeat,frozenmeal,softdrink,,,,
cannedveg,cannedmeat,frozenmeal,wine,,,,
cannedveg,cannedmeat,frozenmeal,confectionery,,,,
cannedveg,cannedmeat,frozenmeal,,,,,
cannedveg,cannedmeat,beer,wine,confectionery,,,
cannedveg,cannedmeat,beer,wine,,,,
cannedveg,cannedmeat,beer,,,,,
cannedveg,cannedmeat,beer,,,,,
cannedveg,cannedmeat,fish,confectionery,,,,
cannedveg,cannedmeat,fish,confectionery,,,,
cannedveg,cannedmeat,fish,,,,,
cannedveg,cannedmeat,,,,,,
cannedveg,cannedmeat,,,,,,
cannedveg,cannedmeat,,,,,,
cannedveg,cannedmeat,,,,,,
cannedveg,frozenmeal,wine,confectionery,,,,
cannedveg,frozenmeal,wine,fish,,,,
cannedveg,frozenmeal,wine,softdrink,,,,
cannedveg,frozenmeal,wine,,,,,
cannedveg,frozenmeal,wine,,,,,
cannedveg,frozenmeal,softdrink,fish,,,,
cannedveg,frozenmeal,softdrink,,,,,
cannedveg,frozenmeal,softdrink,,,,,
cannedveg,frozenmeal,softdrink,,,,,
cannedveg,frozenmeal,beer,confectionery,,,,
cannedveg,frozenmeal,beer,confectionery,,,,
cannedveg,frozenmeal,beer,confectionery,,,,
